y̓uːqʷaː	0	4	0	4	0
y̓uːqʷaː	0	5	0	5	0
c̓us-ʼi·tap	0	4	0	4	0
y̓uːqʷaː	0	6	0	6	0
y̓uːqʷaː	0	7	0	7	0
wik	0	4	0	4	0
wik	0	5	0	5	0
suč̓as	4	0	0	4	0
qʷaː	2	2	0	4	0.6309297535714575
qʷaː	2	3	0	5	0.6126016192893443
ʔaḥʔaː	2	2	0	4	0.6309297535714575
qʷaː	2	4	0	6	0.579380164285695
ʔaḥʔaː	2	3	0	5	0.6126016192893443
wa·	0	4	0	4	0
wa·	0	5	0	5	0
ʔaḥʔaː	2	4	0	6	0.579380164285695
wa·	0	6	0	6	0
č̓apac	3	1	0	4	0.5118595071429148
ʔaḥʔaː	2	5	0	7	0.5445684476282008
wa·	0	7	0	7	0
wik	0	6	0	6	0
wik	0	7	0	7	0
ʔaḥ	3	0	1	4	0.5118595071429148
qʷaː	2	5	0	7	0.5445684476282008
ʔuḥ	0	4	0	4	0
ʔaḥ	4	0	1	5	0.4554859150035953
ʔu-ḥʷʼaɬ	0	4	0	4	0
qʷaː	2	6	0	8	0.5118595071429148
ʔu-ḥʷʼaɬ	0	5	0	5	0
wa·	0	8	0	8	0
qʷaː	2	7	0	9	0.48215936096968104
y̓uːqʷaː	0	8	0	8	0
wa·	0	9	0	9	0
hiɬ-yin	4	0	0	4	0
č̓apac	4	1	0	5	0.4554859150035953
ʔaḥʔaː	2	6	0	8	0.5118595071429148
hista-ʼi(ƛ)	0	4	0	4	0
č̓apac	5	1	0	6	0.41011848630651815
hawiɬ-čaq	0	4	0	4	0
wik	0	8	0	8	0
qʷaː	2	8	0	10	0.4554859150035953
ʔaḥʔaː	2	7	0	9	0.48215936096968104
piḥ	0	4	0	4	0
piḥ	0	5	0	5	0
wa·	0	10	0	10	0
wa·	0	11	0	11	0
wa·	0	12	0	12	0
hiɬ-yin	5	0	0	5	0
qʷaː	2	9	0	11	0.43158020163114585
y̓uːqʷaː	0	9	0	9	0
ƛiča·	4	0	0	4	0
wa·	0	13	0	13	0
ʔu-n̓a·ḥ	0	4	0	4	0
huːʔak	0	4	0	4	0
huːʔak	0	5	0	5	0
ʔaqi-ʔišt	4	0	0	4	0
wik	0	9	0	9	0
č̓apac	6	1	0	7	0.37330396038588737
ʔu-ḥʷʼaɬ	0	6	0	6	0
qʷaː	2	10	0	12	0.41011848630651815
qʷis	0	4	0	4	0
wik	0	10	0	10	0
wik	0	11	0	11	0
ʔu-n̓a·ḥ	0	5	0	5	0
qʷaː	3	10	0	13	0.4917150007886507
čačim	0	4	0	4	0
č̓apac-iːɬ	0	4	0	4	0
ʔaḥʔaː	2	8	0	10	0.4554859150035953
ʔaqi-ʔišt	5	0	0	5	0
čuː	0	4	0	4	0
č̓apac	7	1	0	8	0.34295098019812786
čačim	0	5	0	5	0
čuː	0	5	0	5	0
waː	0	4	0	4	0
č̓apac	8	1	0	9	0.3175206571427802
ʔu-(w)a(ƛ)	0	4	0	4	0
ʔaḥʔaː	2	9	0	11	0.43158020163114585
čuː	0	6	0	6	0
ʔaḥʔaː	2	10	0	12	0.41011848630651815
hawiɬ-čaq	0	5	0	5	0
hiɬ-yin	6	0	0	6	0
y̓uːqʷaː	0	10	0	10	0
ƛiča·	5	0	0	5	0
ʔaqi-ʔišt	6	0	0	6	0
ʔaḥʔaː	2	11	0	13	0.3907866554552209
qʷaː	4	10	0	14	0.5445684476282008
ʔaqi-ʔišt	7	0	0	7	0
ʔaḥ	5	0	1	6	0.41011848630651815
wa·	0	14	0	14	0
wa·	0	15	0	15	0
ʔuːš	1	1	2	4	0.9463946303571862
quːʔas	4	0	0	4	0
qʷaː	4	11	0	15	0.5278615371407821
quːʔas	5	0	0	5	0
wik-cuk	0	4	0	4	0
waː	0	5	0	5	0
waː	0	6	0	6	0
č̓apac-iːɬ	0	5	0	5	0
waː	0	7	0	7	0
qʷaː	4	12	0	16	0.5118595071429148
čuː	0	7	0	7	0
hawiɬ-čaq	0	6	0	6	0
qʷaː	4	13	0	17	0.4966215830615092
čačim	0	6	0	6	0
hawiɬ-čaq	0	7	0	7	0
č̓apac	9	1	0	10	0.2959032742893846
č̓apac	10	1	0	11	0.2772917256537885
ʔaḥ	6	0	1	7	0.37330396038588737
č̓apac	11	1	0	12	0.26108936338578836
ʔiːḥ-s	1	3	0	4	0.5118595071429148
č̓apac	12	1	0	13	0.2468472051870251
ʔuḥ	0	5	0	5	0
ʔaḥ	7	0	1	8	0.34295098019812786
qʷaː	4	14	0	18	0.48215936096968104
č̓apac-iːɬ	0	6	0	6	0
hawiɬ-čaq	0	8	0	8	0
tapʕaq	0	4	0	4	0
ʔu-taq	0	4	0	4	0
wa·	0	16	0	16	0
hiɬ-yin	7	0	0	7	0
ʔu-na·k	0	4	0	4	0
ʔaqi-ʔišt	8	0	0	8	0
č̓aḥʷ	0	4	0	4	0
č̓aḥʷ	0	5	0	5	0
hiš-caqs	3	1	0	4	0.5118595071429148
čačim	0	7	0	7	0
wa·	0	17	0	17	0
čuː	0	8	0	8	0
čačim	0	8	0	8	0
ḥuːɬ	0	4	0	4	0
hiɬ-yin	8	0	0	8	0
qʷis	0	5	0	5	0
hiš-caqs	4	1	0	5	0.4554859150035953
suːt	0	4	0	4	0
ḥumiːs	3	1	0	4	0.5118595071429148
ʔu-na·k	0	5	0	5	0
wa·	0	18	0	18	0
ʔaḥʔaː	2	12	0	14	0.37330396038588737
ʔaqi-ʔišt	9	0	0	9	0
ʔu-ḥʷʼaɬ	0	7	0	7	0
č̓apac-iːɬ	0	7	0	7	0
huːʔak	0	6	0	6	0
ʔaḥʔaː	2	13	0	15	0.35742770336531254
ʔaḥʔaː	2	14	0	16	0.34295098019812786
ḥuː	2	2	0	4	0.6309297535714575
qʷaːƛaː	0	4	0	4	0
qʷaː	4	15	0	19	0.46845749928108243
ʔaḥʔaː	3	14	0	17	0.42417080326490036
ƛiča·	6	0	0	6	0
ƛiča·	7	0	0	7	0
ʔu-ḥʷʼaɬ	0	8	0	8	0
č̓aḥʷ	0	6	0	6	0
č̓aḥʷ	0	7	0	7	0
wik	0	12	0	12	0
wik	0	13	0	13	0
waː	0	8	0	8	0
wik	0	14	0	14	0
wik	0	15	0	15	0
hawiɬ-čaq	0	9	0	9	0
qʷaː	5	15	0	20	0.5118595071429148
kʷama	4	0	0	4	0
čačim	0	9	0	9	0
qʷaː	5	16	0	21	0.49960699524890273
wik	0	16	0	16	0
ʔu-n̓a·ḥ	0	6	0	6	0
suč̓as	5	0	0	5	0
č̓apac	13	1	0	14	0.2342215203652865
huːʔak	0	7	0	7	0
č̓apac	14	1	0	15	0.22294491816723944
ʔaḥʔaː	4	14	0	18	0.48215936096968104
qʷaː	5	17	0	22	0.4878517150631748
č̓apac-iːɬ	0	8	0	8	0
wik	0	17	0	17	0
hawiɬ-čaq	0	10	0	10	0
huːʔak	0	8	0	8	0
qiː	0	4	0	4	0
ʔu-na·k	0	6	0	6	0
wa·	0	19	0	19	0
hiɬ-yin	8	1	0	9	0.3175206571427802
ʔu-na·k	0	7	0	7	0
qʷaːƛaː	0	5	0	5	0
ƛiča·	8	0	0	8	0
qʷaː	5	18	0	23	0.47658882290132026
y̓uːqʷaː	0	11	0	11	0
hawiɬ-čaq	0	11	0	11	0
č̓aḥʷ	0	8	0	8	0
wa·	0	20	0	20	0
ʔaḥʔaː	5	14	0	19	0.5246019307279569
qʷaː	5	19	0	24	0.46580588866142375
č̓apac-iːɬ	0	9	0	9	0
čuː	0	9	0	9	0
ʔu-kʷiɬ	0	4	0	4	0
hawiɬ-čaq	0	12	0	12	0
quːʔas	6	0	0	6	0
čamaqƛ	0	4	0	4	0
ḥuː	2	3	0	5	0.6126016192893443
hiɬ-yin	9	1	0	10	0.2959032742893846
ƛiča·	9	0	0	9	0
wik	0	18	0	18	0
hiɬ-yin	10	1	0	11	0.2772917256537885
č̓apac	15	1	0	16	0.21280633861277304
ḥumiːs	4	1	0	5	0.4554859150035953
wik	0	19	0	19	0
qiː	0	5	0	5	0
piḥ	0	6	0	6	0
ƛiča·	10	0	0	10	0
ʔu-ca	0	4	0	4	0
ʔaḥ	8	0	1	9	0.3175206571427802
č̓apac-iːɬ	0	10	0	10	0
ƛaḥ	0	4	0	4	0
ʔu-ḥʷʼaɬ	0	9	0	9	0
quːʔas	7	0	0	7	0
qʷaː	6	19	0	25	0.5016145675514594
wa·	0	21	0	21	0
mamaɬn̓i	4	0	0	4	0
č̓apac	16	1	0	17	0.20363696854060853
ʔaḥ	9	0	1	10	0.2959032742893846
quːʔas	8	0	0	8	0
huːʔak	0	9	0	9	0
ʔu-ḥʷʼaɬ-ckʷi·	0	4	0	4	0
qʷaː	7	19	0	26	0.5302072895899776
ʔuːš	2	1	2	5	0.9602297178607614
ʔaqi-ʔišt	10	0	0	10	0
ʔuːš	3	1	2	6	0.9206198357143052
quːʔas	9	0	0	9	0
wik	0	20	0	20	0
čuː	0	10	0	10	0
wa·	0	22	0	22	0
wa·	0	23	0	23	0
wa·	0	24	0	24	0
wa·	0	25	0	25	0
ʔumʔi·qsu	4	0	0	4	0
wa·	0	26	0	26	0
ʔu-ca	0	5	0	5	0
wa·	0	27	0	27	0
wa·	0	28	0	28	0
ʔana-siɬa	0	4	0	4	0
xaːšxiːp	3	1	0	4	0.5118595071429148
suč̓as	6	0	0	6	0
ʔana-siɬa	0	5	0	5	0
suč̓as	7	0	0	7	0
wik	0	21	0	21	0
wawaː	1	3	0	4	0.5118595071429148
maʔiƛqac	4	0	0	4	0
xaːšxiːp	3	2	0	5	0.6126016192893443
ʔumʔi·qsu	5	0	0	5	0
wawaː	1	4	0	5	0.4554859150035953
xaːšxiːp	3	3	0	6	0.6309297535714575
ʔumʔi·qsu	6	0	0	6	0
wik	0	22	0	22	0
qʷiyu	3	1	0	4	0.5118595071429148
wa·	0	29	0	29	0
ʔuːš	3	2	2	7	0.9821410328348753
qʷis	0	6	0	6	0
wa·	0	30	0	30	0
wik	0	23	0	23	0
qʷis	0	7	0	7	0
wa·	1	30	0	31	0.1297144305253523
č̓apac	17	1	0	18	0.1953001594734786
hiɬ	2	2	0	4	0.6309297535714575
wik	0	24	0	24	0
ʔuḥ	0	6	0	6	0
wa·	1	31	0	32	0.12657859363955407
ʔuyi	0	4	0	4	0
wa·	1	32	0	33	0.12360498799464747
muwač-m̓i·t	4	0	0	4	0
wa·	1	33	0	34	0.1207809362853011
wa·	1	34	0	35	0.11809506962344107
wa·	1	35	0	36	0.11553716142688074
qʷis	0	8	0	8	0
qʷis	0	9	0	9	0
wa·	1	36	0	37	0.11309798613327456
wa·	1	37	0	38	0.11076919850004079
wa·	1	38	0	39	0.10854323006054539
č̓apac	18	1	0	19	0.1876840927049947
wa·	2	38	0	40	0.1806963615767855
wa·	2	39	0	41	0.17741353268869126
č̓apac	19	1	0	20	0.1806963615767855
č̓apac	20	1	0	21	0.17425991310347752
ḥaw̓iɬ	3	1	0	4	0.5118595071429148
ḥaw̓iɬ	4	1	0	5	0.4554859150035953
wa·	2	40	0	42	0.17425991310347752
ḥaw̓iɬ	5	1	0	6	0.41011848630651815
muwač-m̓i·t	5	0	0	5	0
wawaː	1	5	0	6	0.41011848630651815
wa·	2	41	0	43	0.17122776556835204
wa·	2	42	0	44	0.1683099680160561
muwač-m̓i·t	6	0	0	6	0
ḥaw̓iɬ	6	1	0	7	0.37330396038588737
ḥaw̓iɬ	7	1	0	8	0.34295098019812786
č̓apac	21	1	0	22	0.1683099680160561
t̓uḥc̓iti	4	0	0	4	0
t̓uḥc̓iti	4	1	0	5	0.4554859150035953
ḥaw̓iɬ	7	2	0	9	0.48215936096968104
ḥaw̓iɬ	8	2	0	10	0.4554859150035953
ƛumk	0	4	0	4	0
wik	0	25	0	25	0
t̓uḥc̓iti	5	1	0	6	0.41011848630651815
t̓uḥc̓iti	6	1	0	7	0.37330396038588737
ƛumk	0	5	0	5	0
ƛumk	0	6	0	6	0
qʷis	0	10	0	10	0
ʔuḥ	0	7	0	7	0
muwač-m̓i·t	7	0	0	7	0
č̓apac	22	1	0	23	0.16279165503752757
wa·	2	43	0	45	0.16549995315030186
qʷis	1	10	0	11	0.2772917256537885
hin-in	0	4	0	4	0
qʷis	2	10	0	12	0.41011848630651815
muwač-m̓i·t	8	0	0	8	0
ḥaw̓iɬ	9	2	0	11	0.43158020163114585
čuː	0	11	0	11	0
wa·	2	44	0	46	0.16279165503752757
ʕaːnis-m̓i·t	4	0	0	4	0
wawaː	1	6	0	7	0.37330396038588737
wa·	2	45	0	47	0.16017946177442505
ʔaḥ	10	0	1	11	0.2772917256537885
wik	0	26	0	26	0
wa·	2	46	0	48	0.15765817343911248
ʕaːnis-m̓i·t	5	0	0	5	0
qʷayac̓iːk-štaqumɬ	4	0	0	4	0
ʔaːʔaːʔiša	0	4	0	4	0
ʔučq-c̓u·	4	0	0	4	0
ʕaːnis-m̓i·t	6	0	0	6	0
ʔuːš	4	2	2	8	0.9463946303571862
ʕaːnis-m̓i·t	7	0	0	7	0
naʔa·	0	4	0	4	0
ʕaːnis-m̓i·t	8	0	0	8	0
wa·	2	47	0	49	0.15522296464956845
wik	0	27	0	27	0
wawaː	1	7	0	8	0.34295098019812786
kuḥʷ-iqs	0	4	0	4	0
ʔučq	0	4	0	4	0
muwač-m̓i·t	9	0	0	9	0
t̓uḥc̓iti	6	2	0	8	0.5118595071429148
ḥaw̓iɬ	9	3	0	12	0.5118595071429148
muwač-m̓i·t	10	0	0	10	0
nunuːk	0	4	0	4	0
sukʷiƛ	0	4	0	4	0
ʔaḥ	11	0	1	12	0.26108936338578836
wa·	2	48	0	50	0.15286935115005695
ʔana-siɬa	0	6	0	6	0
qʷayac̓iːk-štaqumɬ	5	0	0	5	0
wa·	2	49	0	51	0.15059315992801106
muwač-m̓i·t	11	0	0	11	0
qʷis	2	11	0	13	0.3907866554552209
muwač-m̓i·t	12	0	0	12	0
wik	0	28	0	28	0
quːʔas	10	0	0	10	0
ʔuːš	4	3	2	9	0.9656336071428252
qʷaː	7	20	0	27	0.5209123406908595
ʔu-na·k	0	8	0	8	0
hiɬ	3	2	0	5	0.6126016192893443
ʔaḥ	12	0	1	13	0.2468472051870251
ʔu-na·k	0	9	0	9	0
qʷaː	7	21	0	28	0.5118595071429148
ʔu-na·k	0	10	0	10	0
wik	0	29	0	29	0
wa·	2	50	0	52	0.14839050243285176
ʕiniːƛ	4	0	0	4	0
ʔaḥʔaː	6	14	0	20	0.5560326498763891
y̓uːqʷaː	0	12	0	12	0
qʷaː	8	21	0	29	0.5361332756242887
numaːk	0	4	0	4	0
quːʔas	11	0	0	11	0
ʔu-n̓a·ḥ	0	7	0	7	0
ʕiniːƛ	5	0	0	5	0
ʕiniːƛ	6	0	0	6	0
ʔuːš	4	4	2	10	0.9602297178607614
ʕiniːƛ	7	0	0	7	0
quːʔas	12	0	0	12	0
ʔu-na·k	0	11	0	11	0
ʕiniːƛ	8	0	0	8	0
ʕiniːƛ	9	0	0	9	0
wa·	2	51	0	53	0.14625775052666262
qʷaː	8	22	0	30	0.5278615371407821
wa·	2	52	0	54	0.1441915148462777
huːʔak	0	10	0	10	0
qʷaː	8	23	0	31	0.5197672707950403
ʕiniːƛ	10	0	0	10	0
ʔu-na·k	0	12	0	12	0
quːʔas	13	0	0	13	0
numaːk	0	5	0	5	0
qʷaː	8	24	0	32	0.5118595071429148
quːʔas	14	0	0	14	0
hiɬ	3	3	0	6	0.6309297535714575
quːʔas	15	0	0	15	0
quːʔas	16	0	0	16	0
wa·	2	53	0	55	0.14218862529861417
sut-(č)iɬ	0	4	0	4	0
qʷiyu	4	1	0	5	0.4554859150035953
quːʔas	17	0	0	17	0
wik	0	30	0	30	0
quːʔas	18	0	0	18	0
qʷaː	8	25	0	33	0.5041434864740977
qʷaː	9	25	0	34	0.526047087442954
ʕiniːƛ	11	0	0	11	0
qʷaː	9	26	0	35	0.5188792956179065
qʷaː	9	27	0	36	0.5118595071429148
y̓uːqʷaː	0	13	0	13	0
ƛaʔuː	3	1	0	4	0.5118595071429148
ʕiniːƛ	12	0	0	12	0
qʷaː	9	28	0	37	0.5049912585825583
ḥaw̓iɬ	10	3	0	13	0.4917150007886507
ʕiniːƛ	13	0	0	13	0
ḥaw̓iɬ	11	3	0	14	0.472941950941057
wa·	2	54	0	56	0.14024611344719426
wa·	2	55	0	57	0.1383611965787174
quːʔas	19	0	0	19	0
huḥtak	0	4	0	4	0
qʷaː	9	29	0	38	0.4982763019965377
qʷaː	10	29	0	39	0.5181705821880989
ʕiniːƛ	14	0	0	14	0
ʕiniːƛ	14	1	0	15	0.22294491816723944
ʕiniːƛ	15	1	0	16	0.21280633861277304
ḥaw̓iɬ	12	3	0	15	0.4554859150035953
ʕiniːƛ	16	1	0	17	0.20363696854060853
ʕiniːƛ	17	1	0	18	0.1953001594734786
qiː	0	6	0	6	0
ʕiniːƛ	18	1	0	19	0.1876840927049947
ʔaḥʔaː	6	15	0	21	0.5445684476282008
hiɬ	3	4	0	7	0.6216097450797567
ḥaː	1	3	0	4	0.5118595071429148
qʷaː	10	30	0	40	0.5118595071429148
ʔaḥʔaː	7	15	0	22	0.5693467715383745
quːʔas	20	0	0	20	0
wa·	2	56	0	58	0.13653126326509574
quːʔas	20	1	0	21	0.17425991310347752
wik	0	31	0	31	0
wik	0	32	0	32	0
quːʔas	21	1	0	22	0.1683099680160561
nay̓iːk	0	4	0	4	0
wa·	2	57	0	59	0.1347538602592167
čuː	0	12	0	12	0
haʔuk	0	4	0	4	0
ʔaḥ	13	0	1	14	0.2342215203652865
wa·	2	58	0	60	0.1330266805824107
wik	0	33	0	33	0
ʕiniːƛ	19	1	0	20	0.1806963615767855
wik	0	34	0	34	0
y̓uːqʷaː	0	14	0	14	0
ʕiniːƛ	20	1	0	21	0.17425991310347752
qʷis	3	11	0	14	0.472941950941057
ʔuːš	4	4	3	11	0.9922150607220183
ʕiniːƛ	21	1	0	22	0.1683099680160561
čuː	0	13	0	13	0
qʷis	3	12	0	15	0.4554859150035953
quːʔas	22	1	0	23	0.16279165503752757
wik	0	35	0	35	0
ʔu-kʷiɬ	0	5	0	5	0
qʷiyu	5	1	0	6	0.41011848630651815
y̓uːqʷaː	0	15	0	15	0
wik	0	36	0	36	0
y̓uːqʷaː	0	16	0	16	0
wik	0	37	0	37	0
naʔa·	0	5	0	5	0
qʷaː	10	31	0	41	0.5056712021696796
wik	0	38	0	38	0
qʷaː	11	31	0	42	0.5234238051125707
ḥuː	2	4	0	6	0.579380164285695
ʔaḥʔaː	8	15	0	23	0.5880969216574936
ciq	1	3	0	4	0.5118595071429148
čuː	0	14	0	14	0
ʔaḥʔaː	9	15	0	24	0.6021808102656679
quːʔas	23	1	0	24	0.15765817343911248
wik	0	39	0	39	0
naʔa·	0	6	0	6	0
wik	0	40	0	40	0
wawaː	1	8	0	9	0.3175206571427802
wawaː	1	9	0	10	0.2959032742893846
y̓uːqʷaː	0	17	0	17	0
qʷaː	12	31	0	43	0.538927706342274
wawaː	1	10	0	11	0.2772917256537885
naq	0	4	0	4	0
qʷis	3	13	0	16	0.4392610297141858
ʔaḥʔaː	10	15	0	25	0.6126016192893443
quːʔas	24	1	0	25	0.15286935115005695
wik	0	41	0	41	0
qʷaː	13	31	0	44	0.5524820883299218
qʷaː	14	31	0	45	0.5643363070906433
ḥaːḥuːp	0	4	0	4	0
čuː	0	15	0	15	0
ʔu-ksnaʕaːɬ	0	4	0	4	0
ʕiniːƛ	22	1	0	23	0.16279165503752757
wawaː	1	11	0	12	0.26108936338578836
nani·qsu	3	1	0	4	0.5118595071429148
wik	0	42	0	42	0
ḥaːkʷa·ƛ	3	1	0	4	0.5118595071429148
ʕiniːƛ	22	2	0	24	0.26108936338578836
ʕiniːƛ	23	2	0	25	0.25374681736588833
ʕiniːƛ	24	2	0	26	0.2468472051870251
ʔumʔi·qsu	7	0	0	7	0
wik	0	43	0	43	0
naʔa·	0	7	0	7	0
nunuːk	1	4	0	5	0.4554859150035953
wa·	2	59	0	61	0.13134755267865894
ƛawa-uɬ	0	4	0	4	0
nunuːk	2	4	0	6	0.579380164285695
nunuːk	2	5	0	7	0.5445684476282008
wawaː	1	12	0	13	0.2468472051870251
ʔumʔi·qsu	8	0	0	8	0
ʔumʔi·qsu	9	0	0	9	0
ḥaːw̓iːḥaƛ	4	0	0	4	0
ʔaḥ	14	0	1	15	0.22294491816723944
qʷis	3	14	0	17	0.42417080326490036
ʔuyi	0	5	0	5	0
ƛ̓aːq	4	0	0	4	0
ḥuː	2	5	0	7	0.5445684476282008
wa·	2	60	0	62	0.1297144305253523
ʔu-(w)a(ƛ)	0	5	0	5	0
ʔaḥ	15	0	1	16	0.21280633861277304
ƛ̓aːq	5	0	0	5	0
ʔaḥʔaː	10	16	0	26	0.6064727741416686
huʔa-ca	0	4	0	4	0
mat	0	4	0	4	0
mat	0	5	0	5	0
qʷis	3	15	0	18	0.41011848630651815
wa·	3	60	0	63	0.17425991310347752
ɬuːcma	4	0	0	4	0
ƛ̓aːq	6	0	0	6	0
huʔa-ca	0	5	0	5	0
mat	0	6	0	6	0
ɬuːcma	5	0	0	5	0
ʔu-ca-ḥta	0	4	0	4	0
waɬ	0	4	0	4	0
wik	0	44	0	44	0
maːʔak	4	0	0	4	0
wik	0	45	0	45	0
wik	0	46	0	46	0
ʔunw̓iːƛ	0	4	0	4	0
quːʔas	25	1	0	26	0.14839050243285176
huːʔak	0	11	0	11	0
ʔuyi	0	6	0	6	0
quːʔas	26	1	0	27	0.1441915148462777
wik	0	47	0	47	0
ʔuḥ	0	8	0	8	0
qʷaː	14	32	0	46	0.559345027039261
hiɬ	3	5	0	8	0.6021808102656679
qiː	0	7	0	7	0
waː	0	9	0	9	0
quːʔas	27	1	0	28	0.14024611344719426
ʔuːš	5	4	3	12	0.9808340377961404
čačim	1	9	0	10	0.2959032742893846
hiɬ	4	5	0	9	0.6252993742043006
quːʔas	28	1	0	29	0.13653126326509574
qʷaː	15	32	0	47	0.5700157289499047
hupaɬ	4	0	0	4	0
qʷaːƛaː	0	6	0	6	0
hupaɬ	5	0	0	5	0
ƛaʔuː	4	1	0	5	0.4554859150035953
waː	0	10	0	10	0
č̓apac	23	1	0	24	0.15765817343911248
čuː	0	16	0	16	0
wa·	3	61	0	64	0.17222543611591343
wa·	3	62	0	65	0.17024279601586934
t̓apat	0	4	0	4	0
čuː	0	17	0	17	0
huːʔak	0	12	0	12	0
č̓apac	24	1	0	25	0.15286935115005695
t̓apat	0	5	0	5	0
ʔaḥ	16	0	1	17	0.20363696854060853
ʔaya	0	4	0	4	0
huḥtak	0	5	0	5	0
qʷiyu	6	1	0	7	0.37330396038588737
ʔuːš-yuːya	0	4	0	4	0
ʔuːš-yuːya	0	5	0	5	0
qʷis	4	15	0	19	0.46845749928108243
quːʔas	29	1	0	30	0.1330266805824107
wik̓iːt	0	4	0	4	0
quːʔas	30	1	0	31	0.1297144305253523
huːʔak	0	13	0	13	0
ʔuyi	0	7	0	7	0
wik̓iːt	0	5	0	5	0
ʔu-na·k	0	13	0	13	0
qʷayac̓iːk-štaqumɬ	6	0	0	6	0
qʷayac̓iːk-štaqumɬ	7	0	0	7	0
quːʔas	31	1	0	32	0.12657859363955407
ʔinkʷ	4	0	0	4	0
wim̓aːqƛ	0	4	0	4	0
wa·	3	63	0	66	0.1683099680160561
ḥaː	2	3	0	5	0.6126016192893443
muwač-m̓i·t	13	0	0	13	0
naʔa·	0	8	0	8	0
